# x u
0.000000000000000000e+00 1.000000000000000000e+00
2.004008041694760323e-03 9.950081706047058105e-01
4.008016083389520645e-03 9.880664944648742676e-01
6.012024357914924622e-03 9.792045354843139648e-01
8.016032166779041290e-03 9.684551358222961426e-01
1.002003997564315796e-02 9.558550715446472168e-01
1.202404871582984924e-02 9.414440989494323730e-01
1.402805652469396591e-02 9.252656698226928711e-01
1.603206433355808258e-02 9.073662161827087402e-01
1.803607307374477386e-02 8.877952694892883301e-01
2.004007995128631592e-02 8.666052222251892090e-01
2.204408869147300720e-02 8.438515067100524902e-01
2.404809743165969849e-02 8.195919394493103027e-01
2.605210430920124054e-02 7.938872575759887695e-01
2.805611304938793182e-02 7.668002247810363770e-01
3.006011992692947388e-02 7.383961081504821777e-01
3.206412866711616516e-02 7.087422609329223633e-01
3.406813740730285645e-02 6.779079437255859375e-01
3.607214614748954773e-02 6.459640860557556152e-01
3.807615116238594055e-02 6.129837632179260254e-01
4.008015990257263184e-02 5.790409445762634277e-01
4.208416864275932312e-02 5.442111492156982422e-01
4.408817738294601440e-02 5.085712075233459473e-01
4.609218612313270569e-02 4.721988737583160400e-01
4.809619486331939697e-02 4.351727068424224854e-01
5.010019987821578979e-02 3.975719511508941650e-01
5.210420861840248108e-02 3.594764173030853271e-01
5.410821735858917236e-02 3.209660947322845459e-01
5.611222609877586365e-02 2.821214795112609863e-01
5.811623483896255493e-02 2.430228888988494873e-01
6.012023985385894775e-02 2.037504762411117554e-01
6.212424859404563904e-02 1.643841862678527832e-01
6.412825733423233032e-02 1.250034868717193604e-01
6.613226234912872314e-02 8.568724989891052246e-02
6.813627481460571289e-02 4.651345685124397278e-02
7.014027982950210571e-02 7.559618446975946426e-03
7.214429229497909546e-02 -3.109853155910968781e-02
7.414829730987548828e-02 -6.938574463129043579e-02
7.615230232477188110e-02 -1.072284355759620667e-01
7.815631479024887085e-02 -1.445547640323638916e-01
8.016031980514526367e-02 -1.812939196825027466e-01
8.216433227062225342e-02 -2.173773199319839478e-01
8.416833728551864624e-02 -2.527377307415008545e-01
8.617234230041503906e-02 -2.873105704784393311e-01
8.817635476589202881e-02 -3.210329413414001465e-01
9.018035978078842163e-02 -3.538439273834228516e-01
9.218437224626541138e-02 -3.856855630874633789e-01
9.418837726116180420e-02 -4.165017306804656982e-01
9.619238972663879395e-02 -4.462388157844543457e-01
9.819639474153518677e-02 -4.748463332653045654e-01
1.002003997564315796e-01 -5.022757053375244141e-01
1.022044122219085693e-01 -5.284819006919860840e-01
1.042084172368049622e-01 -5.534219741821289062e-01
1.062124297022819519e-01 -5.770563483238220215e-01
1.082164347171783447e-01 -5.993481278419494629e-01
1.102204397320747375e-01 -6.202633380889892578e-01
1.122244521975517273e-01 -6.397713422775268555e-01
1.142284572124481201e-01 -6.578441262245178223e-01
1.162324696779251099e-01 -6.744572520256042480e-01
1.182364746928215027e-01 -6.895890831947326660e-01
1.202404797077178955e-01 -7.032211422920227051e-01
1.222444921731948853e-01 -7.153381109237670898e-01
1.242484971880912781e-01 -7.259278893470764160e-01
1.262525022029876709e-01 -7.349814772605895996e-01
1.282565146684646606e-01 -7.424932122230529785e-01
1.302605271339416504e-01 -7.484601140022277832e-01
1.322645246982574463e-01 -7.528827190399169922e-01
1.342685371637344360e-01 -7.557646036148071289e-01
1.362725496292114258e-01 -7.571120858192443848e-01
1.382765620946884155e-01 -7.569348812103271484e-01
1.402805596590042114e-01 -7.552454471588134766e-01
1.422845721244812012e-01 -7.520593404769897461e-01
1.442885845899581909e-01 -7.473947405815124512e-01
1.462925821542739868e-01 -7.412729263305664062e-01
1.482965946197509766e-01 -7.337175607681274414e-01
1.503006070852279663e-01 -7.247554063796997070e-01
1.523046046495437622e-01 -7.144156694412231445e-01
1.543086171150207520e-01 -7.027297019958496094e-01
1.563126295804977417e-01 -6.897318363189697266e-01
1.583166420459747314e-01 -6.754584908485412598e-01
1.603206396102905273e-01 -6.599485278129577637e-01
1.623246520757675171e-01 -6.432426571846008301e-01
1.643286645412445068e-01 -6.253838539123535156e-01
1.663326621055603027e-01 -6.064173579216003418e-01
1.683366745710372925e-01 -5.863893628120422363e-01
1.703406870365142822e-01 -5.653487443923950195e-01
1.723446846008300781e-01 -5.433456301689147949e-01
1.743486970663070679e-01 -5.204316973686218262e-01
1.763527095317840576e-01 -4.966599047183990479e-01
1.783567219972610474e-01 -4.720847904682159424e-01
1.803607195615768433e-01 -4.467621147632598877e-01
1.823647320270538330e-01 -4.207480251789093018e-01
1.843687444925308228e-01 -3.941002488136291504e-01
1.863727420568466187e-01 -3.668771386146545410e-01
1.883767545223236084e-01 -3.391377925872802734e-01
1.903807669878005981e-01 -3.109417557716369629e-01
1.923847794532775879e-01 -2.823492884635925293e-01
1.943887770175933838e-01 -2.534202635288238525e-01
1.963927894830703735e-01 -2.242154330015182495e-01
1.983968019485473633e-01 -1.947954148054122925e-01
2.004007995128631592e-01 -1.652210652828216553e-01
2.024048119783401489e-01 -1.355521380901336670e-01
2.044088244438171387e-01 -1.058490425348281860e-01
2.064128220081329346e-01 -7.617174088954925537e-02
2.084168344736099243e-01 -4.657874628901481628e-02
2.104208469390869141e-01 -1.712889038026332855e-02
2.124248594045639038e-01 1.212009321898221970e-02
2.144288569688796997e-01 4.111131653189659119e-02
2.164328694343566895e-01 6.978886574506759644e-02
2.184368818998336792e-01 9.809789806604385376e-02
2.204408794641494751e-01 1.259844601154327393e-01
2.224448919296264648e-01 1.533967256546020508e-01
2.244489043951034546e-01 1.802834272384643555e-01
2.264529019594192505e-01 2.065946310758590698e-01
2.284569144248962402e-01 2.322829514741897583e-01
2.304609268903732300e-01 2.573016881942749023e-01
2.324649393558502197e-01 2.816061377525329590e-01
2.344689369201660156e-01 3.051531910896301270e-01
2.364729493856430054e-01 3.279022574424743652e-01
2.384769618511199951e-01 3.498140871524810791e-01
2.404809594154357910e-01 3.708513677120208740e-01
2.424849718809127808e-01 3.909791111946105957e-01
2.444889843463897705e-01 4.101643860340118408e-01
2.464929819107055664e-01 4.283760786056518555e-01
2.484969943761825562e-01 4.455859363079071045e-01
2.505010068416595459e-01 4.617673754692077637e-01
2.525050044059753418e-01 4.768960475921630859e-01
2.545090317726135254e-01 4.909507036209106445e-01
2.565130293369293213e-01 5.039110183715820312e-01
2.585170269012451172e-01 5.157602429389953613e-01
2.605210542678833008e-01 5.264837741851806641e-01
2.625250518321990967e-01 5.360686779022216797e-01
2.645290493965148926e-01 5.445052385330200195e-01
2.665330767631530762e-01 5.517855286598205566e-01
2.685370743274688721e-01 5.579043626785278320e-01
2.705410718917846680e-01 5.628586411476135254e-01
2.725450992584228516e-01 5.666478872299194336e-01
2.745490968227386475e-01 5.692738294601440430e-01
2.765531241893768311e-01 5.707403421401977539e-01
2.785571217536926270e-01 5.710539221763610840e-01
2.805611193180084229e-01 5.702230334281921387e-01
2.825651466846466064e-01 5.682586431503295898e-01
2.845691442489624023e-01 5.651735067367553711e-01
2.865731418132781982e-01 5.609828829765319824e-01
2.885771691799163818e-01 5.557038784027099609e-01
2.905811667442321777e-01 5.493558645248413086e-01
2.925851643085479736e-01 5.419600009918212891e-01
2.945891916751861572e-01 5.335393548011779785e-01
2.965931892395019531e-01 5.241191983222961426e-01
2.985971868038177490e-01 5.137261748313903809e-01
3.006012141704559326e-01 5.023887157440185547e-01
3.026052117347717285e-01 4.901373088359832764e-01
3.046092092990875244e-01 4.770036637783050537e-01
3.066132366657257080e-01 4.630207121372222900e-01
3.086172342300415039e-01 4.482238292694091797e-01
3.106212317943572998e-01 4.326486885547637939e-01
3.126252591609954834e-01 4.163326323032379150e-01
3.146292567253112793e-01 3.993144333362579346e-01
3.166332840919494629e-01 3.816335201263427734e-01
3.186372816562652588e-01 3.633306622505187988e-01
3.206412792205810547e-01 3.444476425647735596e-01
3.226453065872192383e-01 3.250261247158050537e-01
3.246493041515350342e-01 3.051101863384246826e-01
3.266533017158508301e-01 2.847431302070617676e-01
3.286573290824890137e-01 2.639688253402709961e-01
3.306613266468048096e-01 2.428330183029174805e-01
3.326653242111206055e-01 2.213803678750991821e-01
3.346693515777587891e-01 1.996558457612991333e-01
3.366733491420745850e-01 1.777060031890869141e-01
3.386773467063903809e-01 1.555758267641067505e-01
3.406813740730285645e-01 1.333112120628356934e-01
3.426853716373443604e-01 1.109578087925910950e-01
